,vol1,close1,vol2,close2,vol3,close3,vol4,close4,vol5,close5,vol6,close6,vol7,close7,vol8,close8,vol9,close9,vol10,close10,moving_average5_1,moving_average5_2,moving_average5_3,moving_average5_4,moving_average5_5,moving_average5_6,moving_average5_7,moving_average5_8,moving_average5_9,moving_average5_10
1050,3266300,104.75,14417800,96.67,16553600,96.25,8100600,158.75,10924200,1422.3,6061300,212.5,30058700,96.75,18656800,246.44,3410300,228.75,2839300,2207.04,104.85,99.53400000000002,97.15,159.15,1433.618,214.6,103.2,242.496,223.9,2199.1500000000005
1051,2087700,105.0,6978600,96.9,22480500,97.75,5350500,159.5,7023200,1417.66,4924400,215.25,13475800,94.5,14511000,248.34,5897500,232.25,2499700,2189.1,104.75,98.888,97.05,159.2,1430.834,214.45,101.65,243.82600000000002,228.6,2204.8900000000003
1052,6419800,102.25,12345300,94.35,32359800,94.5,10314700,155.5,11556000,1393.54,9443200,213.75,19583300,97.75,22610000,244.54,5187300,224.25,3987700,2140.65,104.6,98.05600000000001,96.95,159.1,1424.34,214.75,99.6,244.39600000000002,229.15,2204.89
1053,3486000,98.75,5556700,93.43,24083700,93.0,5404800,155.5,6273900,1393.54,10137100,217.25,14986100,96.75,19274700,241.45,4681500,222.5,3805100,2160.39,104.15,96.852,96.45,158.1,1416.176,214.4,98.55,244.96600000000004,228.6,2191.432
1054,4662400,103.75,6262500,93.89,8592400,95.0,6561700,157.25,5290900,1393.54,14397200,211.0,14590000,98.5,15907000,245.01,3358600,222.5,2500000,2162.19,103.0,95.788,95.55,157.5,1405.6,214.5,97.4,244.82399999999998,227.7,2181.024
1055,5628500,103.0,7460300,94.58,14786300,93.25,8118900,156.25,9289800,1380.21,14036100,203.25,11085700,101.75,11171900,243.59,6737000,219.0,3410500,2156.28,102.9,95.04799999999999,95.3,157.3,1404.116,213.95,96.85,245.156,226.05,2171.874
1056,8187800,100.25,5561500,93.66,9458600,93.0,8985800,157.25,6943200,1378.34,5876800,199.75,29901100,101.0,14472200,244.78,7252000,216.75,4491900,2198.06,102.55,94.63,94.7,156.8,1395.6979999999999,212.1,97.85,244.58599999999996,224.1,2161.722
1057,7382600,98.0,5804400,94.35,7989100,92.25,6160700,156.0,6531100,1373.65,6276900,201.75,26797400,102.0,10985800,245.49,6389000,213.25,2829400,2185.35,101.6,93.982,93.75,156.35,1387.834,209.0,99.15,243.87400000000002,221.0,2163.514
1058,7085500,99.0,9111400,97.59,14635400,94.5,5773000,158.75,9811200,1398.98,12930100,201.5,14346900,100.25,17327300,248.57,6488700,214.0,2858700,2182.62,100.75,93.982,93.3,156.45,1383.8560000000002,206.6,100.0,244.064,218.8,2172.454
1059,6615100,98.75,8017600,97.82,13135900,94.25,11204400,162.0,8975900,1401.8,8816800,200.75,11207400,102.5,14589800,249.76,7751300,217.0,3596400,2175.36,100.8,94.81400000000001,93.6,157.1,1384.944,203.45,100.7,245.488,217.1,2176.9
1060,2895200,99.5,5580700,98.05,12147500,95.25,10030900,162.5,8802300,1409.3,12287700,207.5,16987300,101.5,8658000,248.1,4782700,214.0,1562400,2176.26,99.8,95.60000000000001,93.45,158.05,1386.596,201.4,101.5,246.43800000000002,216.0,2179.5340000000006
1061,1927100,98.75,8010300,98.05,13256900,94.5,5731200,161.5,10168400,1421.5,19447600,211.0,10931800,103.0,11601100,250.71,1037400,215.5,3329000,2192.61,99.1,96.29400000000001,93.85,159.3,1392.414,202.25,101.45,247.33999999999997,215.0,2183.5299999999997
1062,2211300,99.75,2603300,97.59,7707700,95.0,8167500,160.75,4915200,1434.64,10542400,210.0,4158900,103.5,9955700,250.47,3514000,213.75,2005900,2213.5,98.8,97.172,94.15,160.15,1401.046,204.5,101.85,248.52599999999998,214.75,2182.44
1063,1705800,100.5,5631400,98.98,12253200,94.75,4187900,162.75,5103200,1435.57,8083800,204.5,6917100,102.25,11348400,252.61,2040900,216.5,2973300,2247.11,99.15,97.82000000000001,94.7,161.1,1413.2440000000001,206.15,102.15,249.522,214.85,2188.07
1064,3116500,102.5,7133700,98.98,11361600,96.0,7640900,162.0,5305100,1442.14,8890000,200.0,10824400,105.0,10825000,251.66,3564000,219.0,1948600,2243.48,99.45,98.098,94.75,161.9,1420.5620000000001,206.75,102.55,250.33,215.35,2200.9680000000003
1065,4092400,103.5,9763200,99.67,25066700,96.75,9113400,159.0,5624500,1444.96,6058400,202.25,9867300,105.0,12993100,253.09,1676200,218.0,2809500,2250.74,100.2,98.33000000000001,95.1,161.9,1428.63,206.6,103.05,250.70999999999998,215.75,2214.592
1066,6842000,105.75,6454700,100.83,25087100,99.5,8443400,157.25,8534800,1472.17,11752300,202.25,15093200,105.0,15750800,253.56,4526500,220.5,2192300,2281.63,101.0,98.65400000000001,95.4,161.2,1435.7620000000002,205.55,103.75,251.708,216.55,2229.4880000000003
1067,3135400,105.5,7589000,101.75,27353600,101.75,10789400,155.5,5718700,1474.98,9439500,203.5,7338900,103.5,18757800,254.99,2521700,220.25,2607600,2314.32,102.4,99.21000000000001,96.4,160.35,1445.8960000000002,203.8,104.15,252.27800000000002,217.55,2247.292
1068,4590000,106.0,8763200,99.9,21800700,99.5,11749600,157.5,8315600,1451.52,10580600,201.0,12840800,104.0,27787300,252.61,3337200,220.0,4958000,2320.68,103.55,100.042,97.75,159.3,1453.964,202.5,104.15,253.18200000000002,218.85,2267.4559999999997
1069,3563000,106.75,4878200,100.83,17739500,100.75,8135300,158.25,6319200,1474.04,13844700,201.0,7094100,104.0,22520100,250.24,2434600,220.5,2603000,2320.68,104.65,100.226,98.7,158.25,1457.154,201.8,104.5,253.18199999999996,219.55,2282.17
1070,4737800,108.0,5716600,101.75,14926600,101.5,7684100,158.25,7141900,1490.93,10438000,200.5,10257300,105.5,24388300,252.14,2137800,221.0,2340300,2327.95,105.5,100.59599999999999,99.65,157.5,1463.534,202.0,104.3,252.898,219.85,2297.61
1071,3635600,109.5,9711100,101.98,29541800,104.25,9051300,159.75,6588100,1496.56,6483400,205.0,14413700,105.5,12281200,255.22,6429700,219.0,4295300,2385.17,106.4,101.012,100.6,157.35,1472.728,201.65,104.4,252.708,220.45,2313.0520000000006
1072,2083500,110.25,4679900,101.98,9499700,104.25,5424600,159.75,4857300,1494.69,2715900,207.25,9891200,105.0,9964300,256.88,3501600,220.5,3650500,2420.59,107.15,101.242,101.55,157.85,1477.6060000000002,202.2,104.5,253.04000000000002,220.15,2333.76
1073,3186900,109.25,23757600,106.15,29677300,103.75,8343300,160.25,5025900,1502.19,11439600,208.75,14814900,102.0,12244900,254.99,3258600,219.5,4253500,2389.71,108.1,101.28800000000001,102.05,158.7,1481.548,202.95,104.8,253.41800000000003,220.2,2355.014
1074,4459500,107.75,8805400,105.68,24801200,101.5,14981900,161.75,8158000,1498.44,6900700,208.75,16102500,103.0,12793700,253.56,2950000,217.5,5469700,2378.81,108.75,102.53800000000001,102.9,159.25,1491.6820000000002,204.5,104.4,253.894,220.1,2368.8199999999997
1075,6083200,108.25,6424600,104.3,18287600,100.5,11944600,163.25,25920100,1470.29,14118500,213.0,31094700,106.75,10986200,255.7,4804500,212.75,16801200,2279.81,108.95,103.508,103.05,159.95,1496.5620000000004,206.05,104.2,254.558,219.5,2380.446
1076,4637700,108.0,3645600,104.99,10424200,101.75,9456700,162.5,7394400,1471.23,9965000,211.75,15047600,108.0,14608600,257.36,4442800,214.0,12984400,2225.31,109.0,104.018,102.85,160.95,1492.4340000000002,208.55,104.45,255.27000000000004,217.85,2370.818
1077,4219500,109.0,10920400,107.07,14395400,103.75,9923400,162.75,7443100,1469.35,8573000,213.25,18166900,109.5,11417600,255.46,5810800,216.75,22443600,2125.4,108.7,104.62,102.35,161.5,1487.368,209.9,104.95,255.69800000000004,216.85,2338.846
1078,5312500,109.25,13341300,104.99,16498300,102.0,6812000,164.0,6146500,1461.85,8471300,215.5,13963600,110.75,13361400,256.17,4859500,214.75,7238700,2132.67,108.45,105.638,102.25,162.1,1482.3,211.1,105.85,255.414,216.1,2279.808
1079,4530500,109.75,14136300,103.14,9922100,101.25,6489500,163.0,12381600,1459.97,11764600,219.0,32776500,112.75,17419200,256.88,3776100,213.5,5293600,2138.12,108.45,105.40599999999999,101.9,162.85,1474.232,212.45,107.6,255.65,215.15,2228.4
1080,2892700,109.0,11680000,101.75,17670700,102.75,6139400,165.25,8934700,1463.72,4411800,218.25,13604700,112.25,12131700,259.02,4665800,213.0,4966700,2116.32,108.85,104.898,101.85,163.1,1466.538,214.5,109.55,256.314,214.35,2180.262
1081,7243900,109.5,21445200,98.98,27514500,104.75,9922000,166.75,12005500,1468.41,6956400,216.25,12633700,110.25,26720100,261.87,4525400,216.5,5242800,2119.04,109.0,104.388,102.3,163.5,1465.2240000000002,215.55,110.65,256.97799999999995,214.4,2147.564
1082,4176200,109.5,14261000,97.13,14508500,102.75,10221700,166.0,8296900,1468.41,10066100,216.75,16164300,109.75,13673700,261.4,7278800,211.5,4079100,2115.41,109.3,103.18599999999999,102.9,164.35,1464.66,216.45,111.1,257.88,214.9,2126.31
1083,3387800,110.0,12034500,97.36,22311900,102.25,4365700,164.5,9587500,1482.49,5945600,220.0,22923000,108.0,36563800,270.65,4128000,213.5,4106300,2139.02,109.4,101.19800000000001,102.7,165.0,1464.472,217.15,111.15,259.06800000000004,213.85,2124.3120000000004
1084,2243600,109.5,7861100,96.2,15129900,100.5,8009900,162.0,12912000,1493.75,9117600,218.25,27568300,107.25,45404900,269.23,7405300,209.5,3387400,2146.29,109.55,99.672,102.75,165.1,1468.6,218.05,110.6,261.96400000000006,213.6,2125.582
1085,7206800,109.25,6585100,95.05,21091200,100.0,8100000,163.75,10921800,1497.5,13130400,218.25,15587900,105.5,20131300,270.65,7347400,207.0,3303400,2135.39,109.5,98.284,102.6,164.9,1475.356,217.9,109.5,264.434,212.8,2127.2160000000003
1086,757300,108.5,34623100,93.2,14798600,99.0,16395600,167.5,8861100,1517.2,7285700,217.25,9911400,104.0,11687900,271.6,5901400,208.0,1946300,2129.94,109.55,96.944,102.05,164.6,1482.112,217.9,108.15,266.76000000000005,211.6,2131.0299999999997
1087,2762400,109.25,9392800,92.27,8266200,97.75,8412700,166.25,6678300,1494.69,9502000,219.25,5651400,104.5,20777600,274.93,4578700,208.5,2970300,2108.14,109.35,95.788,100.9,164.75,1491.87,218.1,106.9,268.70599999999996,209.9,2133.21
1088,5107300,110.5,26944600,89.27,7496700,98.0,5994100,166.75,4266100,1503.13,7940300,218.0,18545800,107.75,17750200,274.45,4491400,208.0,5051100,2089.98,109.3,94.816,99.9,164.8,1497.1259999999997,218.6,105.85,271.41200000000003,209.3,2131.756
